Departure_Station,Destination_Station,Departure_code,Destination_code,Adult/Full Fare Tickets,"Senior, Charity, Companion and New Taipei City Children",Taipei City Children,Distance
松山機場,松山機場,BR13,BR13,20,8,12,1
松山機場,中山國中,BR13,BR12,20,8,12,1
松山機場,南京復興,BR13,G16;BR11,20,8,12,1
松山機場,忠孝復興,BR13,BL15;BR10,20,8,12,1
松山機場,大安,BR13,R05;BR09,20,8,12,1
松山機場,科技大樓,BR13,BR08,25,10,15,1
松山機場,六張犁,BR13,BR07,25,10,15,1
松山機場,麟光,BR13,BR06,25,10,15,1
松山機場,辛亥,BR13,BR05,30,12,18,1
松山機場,萬芳醫院,BR13,BR04,30,12,18,1
松山機場,萬芳社區,BR13,BR03,30,12,18,1
松山機場,木柵,BR13,BR02,35,14,21,1
松山機場,動物園,BR13,BR01,35,14,21,1
松山機場,大直,BR13,BR14,20,8,12,1
松山機場,劍南路,BR13,BR15,20,8,12,1
松山機場,西湖,BR13,BR16,25,10,15,1
松山機場,港墘,BR13,BR17,25,10,15,1
松山機場,文德,BR13,BR18,25,10,15,1
松山機場,內湖,BR13,BR19,30,12,18,1
松山機場,大湖公園,BR13,BR20,30,12,18,1
松山機場,葫洲,BR13,BR21,30,12,18,1
松山機場,東湖,BR13,BR22,35,14,21,1
松山機場,南港軟體園區,BR13,BR23,35,14,21,1
松山機場,南港展覽館,BR13,BL23;BR24,35,14,21,1
松山機場,小碧潭,BR13,G03A,40,16,24,1
松山機場,新店,BR13,G01,40,16,24,1
松山機場,新店區公所,BR13,G02,40,16,24,1
松山機場,七張,BR13,G03,35,14,21,1
松山機場,大坪林,BR13,Y07;G04,35,14,21,1
松山機場,景美,BR13,G05,35,14,21,1
松山機場,萬隆,BR13,G06,30,12,18,1
松山機場,公館,BR13,G07,30,12,18,1
松山機場,台電大樓,BR13,G08,30,12,18,1
松山機場,古亭,BR13,G09;O05,25,10,15,1
松山機場,中正紀念堂,BR13,G10;R08,25,10,15,1
松山機場,小南門,BR13,G11,25,10,15,1
松山機場,頂溪,BR13,O04,30,12,18,1
松山機場,永安市場,BR13,O03,30,12,18,1
松山機場,景安,BR13,Y11;O02,35,14,21,1
松山機場,南勢角,BR13,O01,35,14,21,1
松山機場,台大醫院,BR13,R09,25,10,15,1
松山機場,台北車站,BR13,BL12;R10,25,10,15,1
松山機場,台北車站,BR13,BL12;R10,25,10,15,1
松山機場,中山,BR13,G14;R11,20,8,12,1
松山機場,雙連,BR13,R12,25,10,15,1
松山機場,民權西路,BR13,O11;R13,25,10,15,1
松山機場,圓山,BR13,R14,25,10,15,1
松山機場,劍潭,BR13,R15,30,12,18,1
松山機場,士林,BR13,R16,30,12,18,1
松山機場,芝山,BR13,R17,30,12,18,1
松山機場,明德,BR13,R18,35,14,21,1
松山機場,石牌,BR13,R19,35,14,21,1
松山機場,唭哩岸,BR13,R20,35,14,21,1
松山機場,奇岩,BR13,R21,40,16,24,1
松山機場,北投,BR13,R22,40,16,24,1
松山機場,新北投,BR13,R22A,40,16,24,1
松山機場,復興崗,BR13,R23,40,16,24,1
松山機場,忠義,BR13,R24,45,18,27,1
松山機場,關渡,BR13,R25,45,18,27,1
松山機場,竹圍,BR13,R26,50,20,30,1
松山機場,紅樹林,BR13,R27,50,20,30,1
松山機場,淡水,BR13,R28,55,22,33,1
松山機場,頂埔,BR13,BL01,50,20,30,1
松山機場,永寧,BR13,BL02,45,18,27,1
松山機場,土城,BR13,BL03,45,18,27,1
