StationID,Line,Station,PreStation,NextStation,Joint,Transit
G01,松山新店線,新店,,G02,0,
G02,松山新店線,新店區公所,G01,G03,0,
G03,松山新店線,七張,G02,G04,1,G03A
G04,松山新店線,大坪林,G03,G05,1,Y07
G05,松山新店線,景美,G04,G06,0,
G06,松山新店線,萬隆,G05,G07,0,
G07,松山新店線,公館,G06,G08,0,
G08,松山新店線,台電大樓,G07,G09,0,
G09,松山新店線,古亭,G08,G10,1,O05
G10,松山新店線,中正紀念堂,G09,G11,1,R08
G11,松山新店線,小南門,G10,G12,0,
G12,松山新店線,西門,G11,G13,1,BL11
G13,松山新店線,北門,G12,G14,0,
G14,松山新店線,中山,G13,G15,1,R11
G15,松山新店線,松江南京,G14,G16,1,O08
G16,松山新店線,南京復興,G15,G17,1,BR11
G17,松山新店線,台北小巨蛋,G16,G18,0,
G18,松山新店線,南京三民,G17,G19,0,
G19,松山新店線,松山,G18,,0,
G03A,松山新店線,小碧潭,G03,,1,G03
