StationID,Line,Station,PreStation,NextStation,Joint,Transit
O01,中和新蘆線,南勢角,,O02,0,
O02,中和新蘆線,景安,O01,O03,1,Y11
O03,中和新蘆線,永安市場,O02,O04,0,
O04,中和新蘆線,頂溪,O03,O05,0,
O05,中和新蘆線,古亭,O04,O06,1,G09
O06,中和新蘆線,東門,O05,O07,1,R07
O07,中和新蘆線,忠孝新生,O06,O08,1,BL14
O08,中和新蘆線,松江南京,O07,O09,1,G15
O09,中和新蘆線,行天宮,O08,O10,0,
O10,中和新蘆線,中山國小,O09,O11,0,
O11,中和新蘆線,民權西路,O10,O12,1,R13
O12,中和新蘆線,大橋頭,O11,O13,0,
O13,中和新蘆線,台北橋,O12,O14,0,
O14,中和新蘆線,菜寮,O13,O15,0,
O15,中和新蘆線,三重,O14,O16,0,
O16,中和新蘆線,先嗇宮,O15,O17,0,
O17,中和新蘆線,頭前庄,O16,O18,1,Y18
O18,中和新蘆線,新莊,O17,O19,0,
O19,中和新蘆線,輔大,O18,O20,0,
O20,中和新蘆線,丹鳳,O19,O21,0,
O21,中和新蘆線,迴龍,O20,,0,
O50,中和新蘆線,三重國小,O12,O51,0,
O51,中和新蘆線,三和國中,O50,O52,0,
O52,中和新蘆線,徐匯中學,O51,O53,0,
O53,中和新蘆線,三民高中,O52,O54,0,
O54,中和新蘆線,蘆洲,O53,,0,
