StationID,Line,Station,PreStation,NextStation,Joint,Transit
R02,淡水信義線,象山,,R03,0,
R03,淡水信義線,台北101/世貿,R02,R04,0,
R04,淡水信義線,信義安和,R03,R05,0,
R05,淡水信義線,大安,R04,R06,1,BR09
R06,淡水信義線,大安森林公園,R05,R07,0,
R07,淡水信義線,東門,R06,R08,1,O06
R08,淡水信義線,中正紀念堂,R07,R09,1,G10
R09,淡水信義線,台大醫院,R08,R10,0,
R10,淡水信義線,台北車站,R09,R11,1,BL12
R11,淡水信義線,中山,R10,R12,1,G14
R12,淡水信義線,雙連,R11,R13,0,
R13,淡水信義線,民權西路,R12,R14,1,O11
R14,淡水信義線,圓山,R13,R15,0,
R15,淡水信義線,劍潭,R14,R16,0,
R16,淡水信義線,士林,R15,R17,0,
R17,淡水信義線,芝山,R16,R18,0,
R18,淡水信義線,明德,R17,R19,0,
R19,淡水信義線,石牌,R18,R20,0,
R20,淡水信義線,唭哩岸,R19,R21,0,
R21,淡水信義線,奇岩,R20,R22,0,
R22,淡水信義線,北投,R21,R23,1,R22A
R23,淡水信義線,復興崗,R22,R24,0,
R24,淡水信義線,忠義,R23,R25,0,
R25,淡水信義線,關渡,R24,R26,0,
R26,淡水信義線,竹圍,R25,R27,0,
R27,淡水信義線,紅樹林,R26,R28,0,
R28,淡水信義線,淡水,R27,,0,
R22A,淡水信義線,新北投,R22,,1,R22
