StationID,Line,Station,PreStation,NextStation,Joint,Transit
BL01,板南線,頂埔,,BL02,0,
BL02,板南線,永寧,BL01,BL03,0,
BL03,板南線,土城,BL02,BL04,0,
BL04,板南線,海山,BL03,BL05,0,
BL05,板南線,亞東醫院,BL04,BL06,0,
BL06,板南線,府中,BL05,BL07,0,
BL07,板南線,板橋,BL06,BL08,1,Y18
BL08,板南線,新埔,BL07,BL09,1,Y17
BL09,板南線,江子翠,BL08,BL10,0,
BL10,板南線,龍山寺,BL09,BL11,0,
BL11,板南線,西門,BL10,BL12,1,G12
BL12,板南線,台北車站,BL11,BL13,1,R10
BL13,板南線,善導寺,BL12,BL14,0,
BL14,板南線,忠孝新生,BL13,BL15,1,O07
BL15,板南線,忠孝復興,BL14,BL16,1,BR10
BL16,板南線,忠孝敦化,BL15,BL17,0,
BL17,板南線,國父紀念館,BL16,BL18,0,
BL18,板南線,市政府,BL17,BL19,0,
BL19,板南線,永春,BL18,BL20,0,
BL20,板南線,後山埤,BL19,BL21,0,
BL21,板南線,昆陽,BL20,BL22,0,
BL22,板南線,南港,BL21,BL23,0,
BL23,板南線,南港展覽館,BL22,,1,BR24
