StationID,Line,Station,PreStation,NextStation,Joint,Transit
BR01,ゅ打絬,笆堕,,BR02,0,
BR02,ゅ打絬,れ琞,BR01,BR03,0,
BR03,ゅ打絬,窾跋,BR02,BR04,0,
BR04,ゅ打絬,窾洛皘,BR03,BR05,0,
BR05,ゅ打絬,ǒヨ,BR04,BR06,0,
BR06,ゅ打絬,棚,BR05,BR07,0,
BR07,ゅ打絬,せ眎瞤,BR06,BR08,0,
BR08,ゅ打絬,м加,BR07,BR09,0,
BR09,ゅ打絬,,BR08,BR10,1,R05
BR10,ゅ打絬,┚У確砍,BR09,BR11,1,BL15
BR11,ゅ打絬,玭ㄊ確砍,BR10,BR12,1,G16
BR12,ゅ打絬,い瓣い,BR11,BR13,0,
BR13,ゅ打絬,猀诀初,BR12,BR14,0,
BR14,ゅ打絬,,BR13,BR15,0,
BR15,ゅ打絬,糃玭隔,BR14,BR16,0,
BR16,ゅ打絬,﹁打,BR15,BR17,0,
BR17,ゅ打絬,翠醂,BR16,BR18,0,
BR18,ゅ打絬,ゅ紈,BR17,BR19,0,
BR19,ゅ打絬,ず打,BR18,BR20,0,
BR20,ゅ打絬,打そ堕,BR19,BR21,0,
BR21,ゅ打絬,脯瑆,BR20,BR22,0,
BR22,ゅ打絬,狥打,BR21,BR23,0,
BR23,ゅ打絬,玭翠硁砰堕跋,BR22,BR24,0,
BR24,ゅ打絬,玭翠甶凝繻,BR23,,1,BL23
