Date	Open	High	Low	Close	AdjClose	Volume
Dec 30, 2020	12,860.75	12,909.75	12,820.50	12,841.50	12,841.50	334,304
Dec 29, 2020	12,845.25	12,918.25	12,808.25	12,841.00	12,841.00	393,995
Dec 28, 2020	12,676.25	12,855.50	12,655.25	12,832.75	12,832.75	346,691
Dec 24, 2020	-	-	-	-	-	-
Dec 23, 2020	12,704.75	12,738.75	12,623.50	12,651.25	12,651.25	358,011
Dec 22, 2020	12,698.25	12,760.00	12,593.50	12,710.00	12,710.00	457,270
Dec 21, 2020	12,760.00	12,782.50	12,461.00	12,683.50	12,683.50	606,583
Dec 18, 2020	12,744.25	12,823.00	12,708.00	12,800.06	12,800.06	460,979
Dec 17, 2020	12,677.00	12,766.25	12,667.50	12,751.00	12,751.00	84,472
Dec 16, 2020	12,599.50	12,699.75	12,567.75	12,665.25	12,665.25	153,920
Dec 15, 2020	12,460.50	12,604.75	12,417.00	12,591.75	12,591.75	223,263
Dec 14, 2020	12,405.50	12,545.00	12,386.50	12,456.50	12,456.50	296,143
Dec 11, 2020	12,391.00	12,414.25	12,234.25	12,368.00	12,368.00	361,860
Dec 10, 2020	12,342.75	12,449.00	12,218.25	12,402.00	12,402.00	529,843
Dec 09, 2020	12,657.25	12,675.00	12,306.75	12,367.00	12,367.00	635,769
Dec 08, 2020	12,574.00	12,652.50	12,502.00	12,637.50	12,637.50	365,422
Dec 07, 2020	12,525.00	12,612.25	12,474.75	12,596.00	12,596.00	323,774
Dec 04, 2020	12,487.00	12,535.75	12,448.50	12,526.00	12,526.00	321,796
Dec 03, 2020	12,472.00	12,540.25	12,444.00	12,462.25	12,462.25	376,884
Dec 02, 2020	12,456.25	12,473.50	12,312.50	12,454.25	12,454.25	400,405
Dec 01, 2020	12,336.00	12,512.25	12,312.00	12,452.25	12,452.25	464,023
Nov 30, 2020	12,286.50	12,337.25	12,086.00	12,277.00	12,277.00	493,064
Nov 27, 2020	-	-	-	-	-	-
Nov 25, 2020	12,098.50	12,177.75	12,077.50	12,152.25	12,152.25	386,232
Nov 24, 2020	11,909.75	12,104.50	11,872.75	12,076.00	12,076.00	401,635
Nov 23, 2020	11,894.00	12,001.75	11,808.25	11,905.25	11,905.25	425,777
Nov 20, 2020	11,960.00	12,021.00	11,873.50	11,905.75	11,905.75	358,180
Nov 19, 2020	11,876.00	12,000.00	11,804.50	11,987.25	11,987.25	421,691
Nov 18, 2020	11,972.00	12,027.50	11,861.50	11,897.00	11,897.00	475,826
Nov 17, 2020	12,061.25	12,096.25	11,953.75	11,975.00	11,975.00	401,505
Nov 16, 2020	11,957.25	12,065.00	11,851.75	12,005.00	12,005.00	471,101
Nov 13, 2020	11,857.00	11,952.75	11,801.75	11,933.50	11,933.50	445,512
Nov 12, 2020	11,898.50	11,975.75	11,775.75	11,820.00	11,820.00	554,930
Nov 11, 2020	11,632.25	11,917.75	11,575.25	11,886.00	11,886.00	546,218
Nov 10, 2020	11,863.50	11,901.50	11,503.25	11,618.25	11,618.25	834,533
Nov 09, 2020	12,139.25	12,408.75	11,812.25	11,820.50	11,820.50	731,881
Nov 06, 2020	12,088.50	12,109.00	11,868.25	12,075.00	12,075.00	552,483
Nov 05, 2020	11,830.00	12,119.50	11,771.25	12,076.50	12,076.50	578,443
Nov 04, 2020	11,264.00	11,843.75	11,230.25	11,763.00	11,763.00	842,617
Nov 03, 2020	11,074.75	11,347.00	11,064.50	11,265.75	11,265.75	509,496
Nov 02, 2020	11,034.50	11,212.00	10,942.25	11,063.25	11,063.25	602,651
Oct 30, 2020	11,213.25	11,281.25	10,944.50	11,046.25	11,046.25	801,978
Oct 29, 2020	11,180.50	11,457.75	11,145.00	11,342.75	11,342.75	606,325
Oct 28, 2020	11,558.50	11,566.75	11,123.75	11,132.75	11,132.75	749,420
Oct 27, 2020	11,499.50	11,623.00	11,478.25	11,588.00	11,588.00	551,642
Oct 26, 2020	11,634.00	11,695.50	11,343.25	11,492.25	11,492.25	674,142
Oct 23, 2020	11,669.25	11,691.75	11,551.00	11,663.50	11,663.50	501,243
Oct 22, 2020	11,683.50	11,724.00	11,511.00	11,649.75	11,649.75	583,669
Oct 21, 2020	11,675.25	11,779.25	11,585.00	11,691.25	11,691.25	599,851
Oct 20, 2020	11,697.50	11,792.00	11,598.50	11,660.75	11,660.75	622,702
Oct 19, 2020	11,816.75	11,950.50	11,591.25	11,650.25	11,650.25	623,203
Oct 16, 2020	11,891.00	12,022.00	11,792.00	11,798.00	11,798.00	527,026
Oct 15, 2020	11,950.00	11,983.25	11,736.50	11,874.00	11,874.00	595,926
Oct 14, 2020	12,079.75	12,178.00	11,901.75	11,974.25	11,974.25	597,198
Oct 13, 2020	12,100.00	12,249.00	12,019.00	12,094.00	12,094.00	754,735
Oct 12, 2020	11,722.75	12,197.00	11,687.75	12,098.25	12,098.25	756,438
Oct 09, 2020	11,562.00	11,739.00	11,552.50	11,724.75	11,724.75	408,445
Oct 08, 2020	11,473.25	11,578.75	11,469.75	11,539.00	11,539.00	403,379
Oct 07, 2020	11,220.50	11,506.50	11,208.00	11,470.00	11,470.00	443,046
Oct 06, 2020	11,473.00	11,524.50	11,197.50	11,273.75	11,273.75	612,278
Oct 05, 2020	11,308.50	11,497.50	11,267.50	11,469.25	11,469.25	398,444
Oct 02, 2020	11,566.75	11,604.75	11,204.50	11,233.25	11,233.25	806,629
Oct 01, 2020	11,375.00	11,599.25	11,375.00	11,574.75	11,574.75	580,589
Sep 30, 2020	11,321.00	11,526.00	11,167.00	11,407.25	11,407.25	647,968
Sep 29, 2020	11,388.00	11,448.75	11,289.50	11,337.75	11,337.75	444,170
Sep 28, 2020	11,145.00	11,404.00	11,140.25	11,394.75	11,394.75	568,217
Sep 25, 2020	10,914.25	11,166.25	10,813.75	11,136.50	11,136.50	600,725
Sep 24, 2020	10,803.50	11,011.75	10,660.25	10,891.75	10,891.75	791,934
Sep 23, 2020	11,160.50	11,222.00	10,786.00	10,829.00	10,829.00	656,111
Sep 22, 2020	10,966.25	11,191.00	10,897.50	11,149.50	11,149.50	573,572
Sep 21, 2020	10,920.00	11,009.75	10,656.50	10,989.00	10,989.00	727,984
Sep 18, 2020	11,082.00	11,179.25	11,037.25	11,144.81	11,144.81	800,279
Sep 17, 2020	11,269.50	11,302.50	10,918.75	11,090.00	11,090.00	157,390
Sep 16, 2020	11,467.50	11,550.00	11,237.50	11,268.75	11,268.75	167,828
Sep 15, 2020	11,278.50	11,495.50	11,247.75	11,464.25	11,464.25	224,404
Sep 14, 2020	11,104.00	11,362.75	11,104.00	11,280.50	11,280.50	322,360
Sep 11, 2020	11,187.00	11,356.25	10,937.50	11,061.50	11,061.50	495,802
Sep 10, 2020	11,377.75	11,566.75	11,088.00	11,178.25	11,178.25	885,270
Sep 09, 2020	11,006.00	11,478.75	10,935.25	11,392.75	11,392.75	720,954
Sep 08, 2020	11,531.00	11,585.00	11,040.50	11,060.50	11,060.50	1,012,392
Sep 04, 2020	11,745.00	11,843.00	11,142.00	11,548.75	11,548.75	1,202,274
Sep 03, 2020	12,408.50	12,438.75	11,658.50	11,800.50	11,800.50	931,583
Sep 02, 2020	12,325.50	12,465.25	12,172.25	12,411.50	12,411.50	725,395
